epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2257.57,2.23266,6.69367,1.95,0.30071,0.30101,0.32151,0.15946,1.9111,4.77625,1.81327,0.000199983,0.000199983,0.0802017
2,4388.25,2.07815,5.84701,1.84425,0.38593,0.49738,0.40884,0.18011,1.95591,4.4554,1.82179,0.000399592,0.000399592,0.0604013
3,6505.83,1.99512,5.33073,1.76386,0.42216,0.49475,0.44171,0.2182,1.84491,4.12396,1.73743,0.000597641,0.000597641,0.0405993
4,8607.26,1.93531,5.04518,1.72707,0.45042,0.50669,0.46797,0.22892,1.7916,3.72992,1.68918,0.000792969,0.000792969,0.0207947
5,10711.5,1.89589,4.85672,1.70172,0.47756,0.52355,0.47777,0.23553,1.76185,3.73346,1.67005,0.000984432,0.000984432,0.000986137
6,12804.4,1.86584,4.65906,1.67514,0.52246,0.59071,0.52778,0.25823,1.75942,3.53043,1.66039,0.000975773,0.000975773,0.000975773
7,14900.5,1.83346,4.55611,1.65035,0.55269,0.53654,0.52719,0.26611,1.72384,3.5061,1.62924,0.000965239,0.000965239,0.000965239
8,16991.1,1.81772,4.40249,1.64333,0.54634,0.58862,0.54042,0.27962,1.71663,3.31581,1.62286,0.000952889,0.000952889,0.000952889
9,19083.4,1.79416,4.24897,1.6155,0.58159,0.57759,0.55859,0.28423,1.69124,3.24821,1.60238,0.000938772,0.000938772,0.000938772
10,21179.9,1.78712,4.2353,1.60973,0.55358,0.61845,0.56695,0.28936,1.69012,3.1406,1.59924,0.000922942,0.000922942,0.000922942
11,23277,1.76449,4.10805,1.59603,0.59997,0.57429,0.56973,0.29473,1.67869,3.08597,1.58731,0.000905463,0.000905463,0.000905463
12,25367.2,1.75043,4.02138,1.58802,0.59214,0.61296,0.59272,0.30203,1.67526,3.05615,1.58583,0.000886404,0.000886404,0.000886404
13,27460.2,1.73335,3.96184,1.57142,0.55442,0.65057,0.58658,0.30428,1.66811,3.02433,1.58121,0.000865839,0.000865839,0.000865839
14,29552.5,1.71558,3.84104,1.56115,0.57453,0.62809,0.59739,0.31048,1.66913,2.9673,1.57765,0.000843851,0.000843851,0.000843851
15,31642.2,1.6993,3.80579,1.55269,0.59709,0.62052,0.59885,0.31402,1.661,2.94496,1.57356,0.000820525,0.000820525,0.000820525
16,33742.5,1.68997,3.70622,1.54594,0.60216,0.62586,0.61436,0.31795,1.65959,2.85974,1.57244,0.000795954,0.000795954,0.000795954
17,35834.1,1.67965,3.66695,1.53709,0.61622,0.64663,0.61539,0.31563,1.66462,2.85863,1.57124,0.000770234,0.000770234,0.000770234
18,37923.1,1.66369,3.62955,1.52649,0.61623,0.64422,0.61514,0.31936,1.65601,2.84297,1.56441,0.000743468,0.000743468,0.000743468
19,40030.2,1.64922,3.57319,1.51956,0.63566,0.62703,0.6163,0.31796,1.65889,2.79786,1.56679,0.000715761,0.000715761,0.000715761
20,42130.1,1.64129,3.47993,1.50866,0.62645,0.64226,0.62074,0.32335,1.65215,2.78086,1.56222,0.000687222,0.000687222,0.000687222
21,44235.7,1.6272,3.45572,1.5025,0.63099,0.63635,0.61482,0.32415,1.65198,2.74641,1.5611,0.000657963,0.000657963,0.000657963
22,46343.4,1.61977,3.38705,1.49842,0.60155,0.65368,0.6213,0.32249,1.64817,2.72095,1.55636,0.000628101,0.000628101,0.000628101
23,48453.6,1.60471,3.33706,1.48515,0.62368,0.64863,0.62426,0.32622,1.6492,2.69765,1.5563,0.000597754,0.000597754,0.000597754
24,50566.4,1.60008,3.3199,1.48413,0.63109,0.6407,0.62416,0.32559,1.64809,2.69476,1.55497,0.00056704,0.00056704,0.00056704
25,52672.8,1.58614,3.25746,1.47469,0.62478,0.65996,0.62548,0.32422,1.6445,2.6928,1.55303,0.000536081,0.000536081,0.000536081
26,54776.4,1.56401,3.19883,1.46308,0.62462,0.65352,0.6302,0.32908,1.6349,2.67326,1.54816,0.000505,0.000505,0.000505
27,56896.8,1.56051,3.13311,1.45668,0.62342,0.66527,0.63358,0.33346,1.6266,2.66146,1.54196,0.000473919,0.000473919,0.000473919
28,59014.1,1.54933,3.1364,1.45439,0.63845,0.66327,0.63707,0.34107,1.61438,2.64198,1.53429,0.00044296,0.00044296,0.00044296
29,61126.1,1.53162,3.09311,1.44624,0.64606,0.66163,0.63864,0.34465,1.60243,2.63019,1.52683,0.000412246,0.000412246,0.000412246
30,63234.5,1.51681,3.02895,1.43559,0.64873,0.66329,0.64217,0.34883,1.5946,2.61229,1.52196,0.000381899,0.000381899,0.000381899
31,65337.2,1.5122,3.00077,1.42816,0.65175,0.66372,0.64388,0.35125,1.58869,2.59691,1.5188,0.000352037,0.000352037,0.000352037
32,67436.5,1.50487,2.94881,1.42392,0.66057,0.66227,0.64362,0.35378,1.58213,2.58364,1.51541,0.000322778,0.000322778,0.000322778
33,69535.9,1.49578,2.91487,1.42137,0.65816,0.66404,0.64704,0.35633,1.57681,2.57822,1.51231,0.000294239,0.000294239,0.000294239
34,71625,1.48037,2.88975,1.41139,0.65951,0.6616,0.64655,0.35992,1.57294,2.57031,1.50974,0.000266532,0.000266532,0.000266532
35,73715.9,1.46715,2.86006,1.40377,0.66125,0.66475,0.65236,0.36228,1.56905,2.55834,1.50772,0.000239766,0.000239766,0.000239766
36,75810.4,1.46254,2.82541,1.39616,0.66048,0.66517,0.65322,0.36434,1.56487,2.54462,1.50563,0.000214046,0.000214046,0.000214046
37,77905.5,1.4561,2.79364,1.39718,0.66761,0.66916,0.65628,0.36633,1.56205,2.53516,1.50471,0.000189475,0.000189475,0.000189475
38,80002.2,1.4482,2.75982,1.39326,0.67746,0.66566,0.65774,0.36677,1.56025,2.52449,1.50372,0.000166149,0.000166149,0.000166149
39,82095.7,1.43547,2.72614,1.38228,0.68073,0.6657,0.66019,0.3688,1.55809,2.51619,1.5028,0.000144161,0.000144161,0.000144161
40,84190.7,1.43887,2.71047,1.38172,0.68043,0.66268,0.6605,0.36938,1.55697,2.50859,1.50259,0.000123596,0.000123596,0.000123596
41,86268.8,1.31648,2.14759,1.40439,0.68183,0.66366,0.66195,0.37176,1.55568,2.50194,1.50223,0.000104537,0.000104537,0.000104537
42,88345.4,1.30335,2.09399,1.39788,0.68123,0.66203,0.6646,0.37339,1.55416,2.49759,1.50148,8.70577e-05,8.70577e-05,8.70577e-05
43,90424.8,1.29379,2.07754,1.3851,0.6849,0.65829,0.66423,0.37518,1.55357,2.48975,1.50136,7.12282e-05,7.12282e-05,7.12282e-05
44,92502.8,1.287,2.0536,1.37931,0.68649,0.65689,0.66487,0.37493,1.55275,2.48035,1.50106,5.71106e-05,5.71106e-05,5.71106e-05
45,94578.4,1.27763,2.01829,1.37103,0.68403,0.65669,0.66626,0.376,1.5519,2.47556,1.50072,4.47606e-05,4.47606e-05,4.47606e-05
46,96654.7,1.27555,2.01071,1.37422,0.68775,0.65779,0.66693,0.37564,1.55098,2.47186,1.5006,3.4227e-05,3.4227e-05,3.4227e-05
47,98725.1,1.26624,1.98056,1.36812,0.6929,0.65652,0.66758,0.37672,1.55063,2.46825,1.50082,2.55513e-05,2.55513e-05,2.55513e-05
48,100798,1.26085,2.00057,1.36114,0.69651,0.65524,0.66815,0.37844,1.55008,2.46345,1.50088,1.87678e-05,1.87678e-05,1.87678e-05
49,102873,1.26327,1.98658,1.36398,0.70378,0.64973,0.6683,0.37882,1.54964,2.45989,1.50074,1.39032e-05,1.39032e-05,1.39032e-05
50,104950,1.26124,1.97456,1.36268,0.70373,0.65195,0.66939,0.37969,1.54919,2.45839,1.50091,1.09768e-05,1.09768e-05,1.09768e-05
