epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,591.859,1.32175,2.09934,1.17795,0.7999,0.83317,0.83973,0.53609,1.23079,1.62302,1.16834,0.000938772,0.000938772,0.000938772
26,1141.29,1.34861,2.15443,1.18887,0.8073,0.82033,0.84908,0.53994,1.22064,1.6435,1.16095,0.000933683,0.000933683,0.000933683
27,1688.37,1.33614,2.13564,1.18148,0.82402,0.79927,0.84249,0.54184,1.21933,1.62513,1.16021,0.000928405,0.000928405,0.000928405
28,2234.74,1.32639,2.10125,1.17948,0.83652,0.80453,0.84867,0.54397,1.2223,1.62051,1.16206,0.000922942,0.000922942,0.000922942
29,2780.95,1.32639,2.0947,1.17718,0.8134,0.82412,0.84577,0.54146,1.22185,1.61073,1.16145,0.000917296,0.000917296,0.000917296
30,3324.68,1.32314,2.09958,1.17459,0.80129,0.83732,0.85133,0.54924,1.21831,1.59364,1.1593,0.000911469,0.000911469,0.000911469
31,3866.9,1.32449,2.08453,1.17408,0.79965,0.83025,0.85296,0.55344,1.21881,1.58413,1.16064,0.000905463,0.000905463,0.000905463
32,4407.76,1.30726,2.05513,1.16754,0.80607,0.81584,0.85013,0.5498,1.21954,1.57181,1.16083,0.000899282,0.000899282,0.000899282
33,4946.1,1.30813,2.05367,1.16965,0.81245,0.82466,0.84904,0.55306,1.21857,1.57062,1.16158,0.000892928,0.000892928,0.000892928
34,5480.42,1.30154,2.0322,1.16565,0.8109,0.83095,0.85234,0.55604,1.21721,1.56327,1.16111,0.000886404,0.000886404,0.000886404
35,6015.25,1.30297,2.03354,1.16876,0.79607,0.84528,0.85788,0.55967,1.2179,1.56141,1.1609,0.000879713,0.000879713,0.000879713
36,592.617,1.26002,1.92062,1.14808,0.80678,0.84231,0.85737,0.5588,1.21855,1.54948,1.16289,0.000872857,0.000872857,0.000872857
37,1142.74,1.29511,2.01354,1.16129,0.79835,0.84157,0.85474,0.55599,1.21777,1.54923,1.16111,0.000865839,0.000865839,0.000865839
38,595.216,1.22388,1.82233,1.13208,0.78736,0.85649,0.85436,0.55736,1.22111,1.54322,1.1652,0.000858664,0.000858664,0.000858664
39,1150.08,1.29216,1.99805,1.15952,0.79796,0.84515,0.85332,0.55775,1.21864,1.53979,1.16263,0.000851333,0.000851333,0.000851333
40,1710.96,1.28386,1.98464,1.15393,0.79186,0.84856,0.84691,0.55649,1.21654,1.54187,1.16111,0.000843851,0.000843851,0.000843851
41,2272.04,1.28298,1.9776,1.15679,0.79707,0.84616,0.84722,0.55611,1.2161,1.53879,1.1608,0.00083622,0.00083622,0.00083622
42,2831.74,1.28085,1.96583,1.15285,0.79789,0.85014,0.85315,0.55741,1.21434,1.53936,1.16021,0.000828443,0.000828443,0.000828443
43,3391.38,1.27912,1.95052,1.15252,0.8051,0.85369,0.85502,0.5596,1.21384,1.5363,1.15984,0.000820525,0.000820525,0.000820525
44,3953.97,1.27422,1.94635,1.14995,0.80454,0.85143,0.8555,0.55988,1.2142,1.53527,1.16022,0.000812468,0.000812468,0.000812468
45,4517.74,1.27598,1.95143,1.15258,0.80147,0.85472,0.85362,0.55799,1.21358,1.53457,1.15991,0.000804277,0.000804277,0.000804277
46,5081.78,1.27685,1.93918,1.14998,0.80322,0.84619,0.85289,0.55676,1.21397,1.53239,1.16021,0.000795954,0.000795954,0.000795954
47,5643.25,1.25988,1.91,1.14158,0.80278,0.84748,0.85258,0.55692,1.21368,1.53068,1.16014,0.000787503,0.000787503,0.000787503
48,6204.8,1.25463,1.90359,1.14185,0.80292,0.84453,0.852,0.55602,1.21361,1.52868,1.16021,0.000778929,0.000778929,0.000778929
49,6765.74,1.25055,1.89302,1.14131,0.80681,0.83953,0.85096,0.55677,1.21347,1.52751,1.16056,0.000770234,0.000770234,0.000770234
50,7331.65,1.25864,1.89864,1.14105,0.80299,0.8517,0.8512,0.55637,1.21347,1.52711,1.16083,0.000761423,0.000761423,0.000761423
51,7886.5,1.25231,1.89195,1.14118,0.80619,0.85069,0.85178,0.55651,1.21353,1.52697,1.16108,0.0007525,0.0007525,0.0007525
52,8440.23,1.24761,1.8727,1.13749,0.80583,0.84688,0.8517,0.55745,1.21354,1.5266,1.1611,0.000743468,0.000743468,0.000743468
53,8995.3,1.23972,1.86494,1.13149,0.80984,0.84226,0.85082,0.55748,1.21356,1.52622,1.16124,0.000734332,0.000734332,0.000734332
54,9561.12,1.23763,1.83732,1.13308,0.81046,0.83848,0.85156,0.55713,1.21291,1.52348,1.16092,0.000725094,0.000725094,0.000725094
55,10112.6,1.22832,1.85196,1.13111,0.80941,0.8461,0.85066,0.55691,1.21304,1.52237,1.16122,0.000715761,0.000715761,0.000715761
56,10665.7,1.23366,1.84059,1.12569,0.81384,0.84325,0.85122,0.55722,1.21329,1.52146,1.16132,0.000706335,0.000706335,0.000706335
57,11221.9,1.22288,1.83351,1.12305,0.81495,0.83922,0.85089,0.55597,1.21328,1.51948,1.16145,0.00069682,0.00069682,0.00069682
58,11776.1,1.21704,1.81234,1.12362,0.80939,0.8439,0.85204,0.55657,1.2137,1.51705,1.16184,0.000687222,0.000687222,0.000687222
59,12326.8,1.21803,1.80703,1.12343,0.81609,0.83709,0.85294,0.5566,1.21354,1.51523,1.162,0.000677543,0.000677543,0.000677543
